,z,theta,TRP_Bonds,TYR_Bonds,PHE_Bonds,Total_Bonds
0,-23.80,018,0.0,0.0,0.0,0.0
0,-23.80,054,0.0,0.0,0.0,0.0
0,-23.80,090,0.0,0.0,0.0,0.0
0,-23.80,126,0.0,0.0,0.0,0.0
0,-23.80,162,0.0,0.0,0.0,0.0
0,-23.80,198,0.0,0.0,0.0,0.0
0,-23.80,234,0.0,0.0,0.0,0.0
0,-23.80,270,0.0,0.0,0.0,0.0
0,-23.80,306,0.0,0.0,0.0,0.0
0,-23.80,342,0.0,0.0,0.0,0.0
0,-17.00,018,0.0,0.0,0.0,0.0
0,-17.00,054,0.0,0.0,0.0,0.0
0,-17.00,090,0.0,0.0,0.0,0.0
0,-17.00,126,0.0,0.0,0.0,0.0
0,-17.00,162,0.0,0.0,0.0,0.0
0,-17.00,198,0.0,0.0,0.0,0.0
0,-17.00,234,0.0,0.0,0.0,0.0
0,-17.00,270,0.0,0.0,0.0,0.0
0,-17.00,306,0.0,0.0,20.0,20.0
0,-17.00,342,0.0,0.0,11.0,11.0
0,-10.20,018,0.0,0.0,0.0,0.0
0,-10.20,054,0.0,11.0,23.0,34.0
0,-10.20,090,0.0,0.0,0.0,0.0
0,-10.20,126,0.0,0.0,0.0,0.0
0,-10.20,162,0.0,0.0,0.0,0.0
0,-10.20,198,0.0,0.0,0.0,0.0
0,-10.20,234,0.0,0.0,0.0,0.0
0,-10.20,270,0.0,0.0,0.0,0.0
0,-10.20,306,0.0,0.0,7.0,7.0
0,-10.20,342,0.0,0.0,10.0,10.0
0,-3.40,018,0.0,0.0,0.0,0.0
0,-3.40,054,0.0,1.0,0.0,1.0
0,-3.40,090,0.0,0.0,0.0,0.0
0,-3.40,126,0.0,0.0,0.0,0.0
0,-3.40,162,13.0,5.0,0.0,18.0
0,-3.40,198,3.0,0.0,0.0,3.0
0,-3.40,234,0.0,4.0,0.0,4.0
0,-3.40,270,0.0,0.0,0.0,0.0
0,-3.40,306,0.0,0.0,0.0,0.0
0,-3.40,342,0.0,0.0,0.0,0.0
0,03.40,018,0.0,0.0,0.0,0.0
0,03.40,054,0.0,0.0,0.0,0.0
0,03.40,090,0.0,0.0,0.0,0.0
0,03.40,126,0.0,0.0,0.0,0.0
0,03.40,162,0.0,0.0,0.0,0.0
0,03.40,198,0.0,0.0,0.0,0.0
0,03.40,234,0.0,12.0,0.0,12.0
0,03.40,270,0.0,0.0,0.0,0.0
0,03.40,306,0.0,0.0,0.0,0.0
0,03.40,342,0.0,0.0,0.0,0.0
0,10.20,018,0.0,0.0,0.0,0.0
0,10.20,054,0.0,0.0,0.0,0.0
0,10.20,090,0.0,0.0,7.0,7.0
0,10.20,126,0.0,0.0,0.0,0.0
0,10.20,162,0.0,0.0,0.0,0.0
0,10.20,198,0.0,0.0,0.0,0.0
0,10.20,234,0.0,0.0,0.0,0.0
0,10.20,270,0.0,0.0,0.0,0.0
0,10.20,306,0.0,0.0,13.0,13.0
0,10.20,342,0.0,0.0,0.0,0.0
0,17.00,018,2.0,0.0,0.0,2.0
0,17.00,054,0.0,0.0,0.0,0.0
0,17.00,090,0.0,0.0,0.0,0.0
0,17.00,126,0.0,0.0,0.0,0.0
0,17.00,162,0.0,0.0,0.0,0.0
0,17.00,198,0.0,0.0,0.0,0.0
0,17.00,234,0.0,0.0,0.0,0.0
0,17.00,270,0.0,0.0,13.0,13.0
0,17.00,306,0.0,0.0,12.0,12.0
0,17.00,342,0.0,0.0,0.0,0.0
0,23.80,018,0.0,0.0,0.0,0.0
0,23.80,054,0.0,0.0,0.0,0.0
0,23.80,090,0.0,0.0,3.0,3.0
0,23.80,126,0.0,0.0,0.0,0.0
0,23.80,162,0.0,0.0,0.0,0.0
0,23.80,198,0.0,0.0,0.0,0.0
0,23.80,234,0.0,0.0,0.0,0.0
0,23.80,270,0.0,0.0,0.0,0.0
0,23.80,306,0.0,0.0,0.0,0.0
0,23.80,342,0.0,0.0,0.0,0.0
