Z,Theta,Hbonds
-23.8,18,7
-23.8,54,4
-23.8,90,10
-23.8,126,1
-23.8,162,11
-23.8,198,2
-23.8,234,0
-23.8,270,0
-23.8,306,0
-23.8,342,0
-17,18,7
-17,54,3
-17,90,8
-17,126,1
-17,162,32
-17,198,45
-17,234,8
-17,270,5
-17,306,2
-17,342,1
-10.2,18,26
-10.2,54,8
-10.2,90,20
-10.2,126,10
-10.2,162,14
-10.2,198,7
-10.2,234,12
-10.2,270,5
-10.2,306,1
-10.2,342,20
-3.4,18,3
-3.4,54,7
-3.4,90,11
-3.4,126,1
-3.4,162,7
-3.4,198,37
-3.4,234,41
-3.4,270,4
-3.4,306,15
-3.4,342,6
3.4,18,3
3.4,54,19
3.4,90,0
3.4,126,0
3.4,162,0
3.4,198,21
3.4,234,2
3.4,270,0
3.4,306,7
3.4,342,0
10.2,18,0
10.2,54,44
10.2,90,0
10.2,126,9
10.2,162,3
10.2,198,23
10.2,234,11
10.2,270,15
10.2,306,2
10.2,342,9
17,18,0
17,54,5
17,90,0
17,126,3
17,162,38
17,198,10
17,234,21
17,270,1
17,306,2
17,342,20
23.8,18,9
23.8,54,8
23.8,90,1
23.8,126,2
23.8,162,3
23.8,198,11
23.8,234,12
23.8,270,2
23.8,306,1
23.8,342,18
